tick,unique-id,state,infection-start,infector-id,num-infected,masked
85,S,-1,-1,0,false,0
108,S,-1,-1,0,false,0
87,S,-1,-1,0,false,0
173,S,-1,-1,0,false,0
28,S,-1,-1,0,false,0
67,S,-1,-1,0,false,0
137,S,-1,-1,0,false,0
117,S,-1,-1,0,false,0
148,S,-1,-1,0,false,0
25,S,-1,-1,0,false,0
124,S,-1,-1,0,false,0
86,S,-1,-1,0,false,0
181,S,-1,-1,0,true,0
69,S,-1,-1,0,false,0
143,S,-1,-1,0,false,0
150,S,-1,-1,0,false,0
84,S,-1,-1,0,false,0
45,S,-1,-1,0,false,0
189,S,-1,-1,0,false,0
49,S,-1,-1,0,false,0
198,S,-1,-1,0,false,0
11,S,-1,-1,0,false,0
167,S,-1,-1,0,false,0
116,S,-1,-1,0,false,0
111,S,-1,-1,0,true,0
51,S,-1,-1,0,false,0
130,S,-1,-1,0,false,0
12,S,-1,-1,0,false,0
29,S,-1,-1,0,true,0
125,S,-1,-1,0,false,0
107,S,-1,-1,0,true,0
155,S,-1,-1,0,false,0
138,I,0,138,0,true,0
193,S,-1,-1,0,false,0
154,S,-1,-1,0,false,0
53,S,-1,-1,0,false,0
57,S,-1,-1,0,false,0
186,S,-1,-1,0,false,0
24,S,-1,-1,0,false,0
123,S,-1,-1,0,false,0
102,S,-1,-1,0,false,0
26,S,-1,-1,0,false,0
47,S,-1,-1,0,false,0
32,S,-1,-1,0,true,0
99,S,-1,-1,0,false,0
106,S,-1,-1,0,false,0
127,S,-1,-1,0,false,0
141,S,-1,-1,0,false,0
91,S,-1,-1,0,false,0
131,S,-1,-1,0,false,0
18,S,-1,-1,0,false,0
27,S,-1,-1,0,false,0
191,S,-1,-1,0,false,0
66,S,-1,-1,0,true,0
176,S,-1,-1,0,true,0
5,S,-1,-1,0,false,0
199,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
30,S,-1,-1,0,false,0
133,S,-1,-1,0,false,0
36,S,-1,-1,0,true,0
7,S,-1,-1,0,false,0
129,S,-1,-1,0,false,0
40,S,-1,-1,0,false,0
68,S,-1,-1,0,false,0
151,S,-1,-1,0,false,0
95,S,-1,-1,0,false,0
110,S,-1,-1,0,false,0
153,S,-1,-1,0,false,0
178,S,-1,-1,0,false,0
17,S,-1,-1,0,true,0
163,S,-1,-1,0,false,0
38,S,-1,-1,0,false,0
54,S,-1,-1,0,false,0
83,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
81,S,-1,-1,0,false,0
169,S,-1,-1,0,false,0
145,S,-1,-1,0,false,0
126,S,-1,-1,0,true,0
122,S,-1,-1,0,false,0
1,S,-1,-1,0,false,0
157,S,-1,-1,0,false,0
