tick,unique-id,state,infection-start,infector-id,num-infected,masked
87,S,-1,-1,0,false,0
155,S,-1,-1,0,false,0
196,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
126,S,-1,-1,0,false,0
89,S,-1,-1,0,false,0
33,S,-1,-1,0,false,0
41,IS,0,-1,0,false,0
65,S,-1,-1,0,false,0
71,S,-1,-1,0,false,0
91,S,-1,-1,0,false,0
48,S,-1,-1,0,false,0
153,S,-1,-1,0,false,0
84,S,-1,-1,0,false,0
188,S,-1,-1,0,false,0
145,S,-1,-1,0,false,0
39,S,-1,-1,0,false,0
1,S,-1,-1,0,false,0
149,S,-1,-1,0,false,0
55,S,-1,-1,0,false,0
69,S,-1,-1,0,false,0
140,S,-1,-1,0,false,0
162,S,-1,-1,0,false,0
35,S,-1,-1,0,false,0
141,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
173,S,-1,-1,0,true,0
160,S,-1,-1,0,false,0
23,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
170,S,-1,-1,0,false,0
34,S,-1,-1,0,false,0
16,S,-1,-1,0,false,0
25,S,-1,-1,0,false,0
121,S,-1,-1,0,false,0
83,S,-1,-1,0,false,0
159,S,-1,-1,0,false,0
191,S,-1,-1,0,false,0
99,S,-1,-1,0,false,0
28,S,-1,-1,0,false,0
8,S,-1,-1,0,false,0
136,S,-1,-1,0,false,0
31,S,-1,-1,0,false,0
40,S,-1,-1,0,false,0
105,IA,0,37,0,false,0
185,IA,0,-1,0,false,0
135,S,-1,-1,0,false,0
190,IS,0,-1,0,false,0
113,S,-1,-1,0,false,0
158,S,-1,-1,0,false,0
183,S,-1,-1,0,true,0
80,S,-1,-1,0,false,0
131,S,-1,-1,0,false,0
112,S,-1,-1,0,false,0
54,S,-1,-1,0,false,0
116,S,-1,-1,0,false,0
15,S,-1,-1,0,false,0
37,IA,0,-1,2,false,0
106,S,-1,-1,0,false,0
73,S,-1,-1,0,false,0
166,S,-1,-1,0,false,0
177,S,-1,-1,0,false,0
157,S,-1,-1,0,false,0
43,S,-1,-1,0,false,0
92,IS,0,187,0,false,0
107,S,-1,-1,0,false,0
176,S,-1,-1,0,false,0
