tick,unique-id,state,infection-start,infector-id,num-infected,masked
8,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
1,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
5,S,-1,-1,0,false,0
3,IS,0,-1,0,false,0
4,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
6,S,-1,-1,0,false,0
8,S,-1,-1,0,false,1
0,S,-1,-1,0,false,1
1,S,-1,-1,0,false,1
9,S,-1,-1,0,false,1
2,S,-1,-1,0,false,1
5,S,-1,-1,0,false,1
3,IS,0,-1,2,false,1
4,IA,1,6,0,false,1
7,S,-1,-1,0,false,1
6,IS,1,3,2,false,1
8,IS,2,7,0,false,2
0,IA,2,5,0,false,2
1,IA,2,5,0,false,2
9,S,-1,-1,0,false,2
2,S,-1,-1,0,false,2
5,IA,2,4,4,false,2
3,IS,0,-1,2,false,2
4,IA,1,6,2,false,2
7,IS,2,6,2,false,2
6,IS,1,3,4,false,2
8,IS,2,7,0,false,3
0,R,2,5,0,false,3
1,IA,2,5,0,false,3
9,IA,3,5,0,false,3
2,S,-1,-1,0,false,3
5,IA,2,4,6,false,3
3,IS,0,-1,2,false,3
4,IA,1,6,2,false,3
7,IS,2,6,2,false,3
6,IS,1,3,4,false,3
8,IS,2,7,0,false,4
0,R,2,5,0,false,4
1,IA,2,5,0,false,4
9,R,3,5,0,false,4
2,S,-1,-1,0,false,4
5,IA,2,4,6,false,4
3,IS,0,-1,2,false,4
4,IA,1,6,2,false,4
7,IS,2,6,2,false,4
6,R,1,3,4,false,4
8,IS,2,7,0,false,5
0,R,2,5,0,false,5
1,IA,2,5,0,false,5
9,R,3,5,0,false,5
2,IS,5,5,0,false,5
5,IA,2,4,8,false,5
3,IS,0,-1,2,false,5
4,IA,1,6,2,false,5
7,IS,2,6,2,false,5
6,R,1,3,4,false,5
8,IS,2,7,0,false,6
0,R,2,5,0,false,6
1,IA,2,5,0,false,6
9,R,3,5,0,false,6
2,IS,5,5,0,false,6
5,IA,2,4,8,false,6
3,IS,0,-1,2,false,6
4,IA,1,6,2,false,6
7,IS,2,6,2,false,6
6,R,1,3,4,false,6
8,IS,2,7,0,false,7
0,R,2,5,0,false,7
1,IA,2,5,0,false,7
9,R,3,5,0,false,7
2,IS,5,5,0,false,7
5,IA,2,4,8,false,7
3,IS,0,-1,2,false,7
4,IA,1,6,2,false,7
7,IS,2,6,2,false,7
6,R,1,3,4,false,7
8,R,2,7,0,false,8
0,R,2,5,0,false,8
1,IA,2,5,0,false,8
9,R,3,5,0,false,8
2,IS,5,5,0,false,8
5,IA,2,4,8,false,8
3,IS,0,-1,2,false,8
4,IA,1,6,2,false,8
7,IS,2,6,2,false,8
6,R,1,3,4,false,8
8,R,2,7,0,false,9
0,R,2,5,0,false,9
1,IA,2,5,0,false,9
9,R,3,5,0,false,9
2,IS,5,5,0,false,9
5,IA,2,4,8,false,9
3,IS,0,-1,2,false,9
4,IA,1,6,2,false,9
7,IS,2,6,2,false,9
6,R,1,3,4,false,9
8,R,2,7,0,false,10
0,R,2,5,0,false,10
1,IA,2,5,0,false,10
9,R,3,5,0,false,10
2,IS,5,5,0,false,10
5,IA,2,4,8,false,10
3,IS,0,-1,2,false,10
4,IA,1,6,2,false,10
7,IS,2,6,2,false,10
6,R,1,3,4,false,10
8,R,2,7,0,false,11
0,R,2,5,0,false,11
1,IA,2,5,0,false,11
9,R,3,5,0,false,11
2,IS,5,5,0,false,11
5,IA,2,4,8,false,11
3,R,0,-1,2,false,11
4,IA,1,6,2,false,11
7,IS,2,6,2,false,11
6,R,1,3,4,false,11
8,R,2,7,0,false,12
0,R,2,5,0,false,12
1,IA,2,5,0,false,12
9,R,3,5,0,false,12
2,IS,5,5,0,false,12
5,IA,2,4,8,false,12
3,R,0,-1,2,false,12
4,IA,1,6,2,false,12
7,IS,2,6,2,false,12
6,R,1,3,4,false,12
8,R,2,7,0,false,13
0,R,2,5,0,false,13
1,IA,2,5,0,false,13
9,R,3,5,0,false,13
2,IS,5,5,0,false,13
5,IA,2,4,8,false,13
3,R,0,-1,2,false,13
4,IA,1,6,2,false,13
7,IS,2,6,2,false,13
6,R,1,3,4,false,13
8,R,2,7,0,false,14
0,R,2,5,0,false,14
1,IA,2,5,0,false,14
9,R,3,5,0,false,14
2,IS,5,5,0,false,14
5,IA,2,4,8,false,14
3,R,0,-1,2,false,14
4,IA,1,6,2,false,14
7,IS,2,6,2,false,14
6,R,1,3,4,false,14
8,R,2,7,0,false,15
0,R,2,5,0,false,15
1,IA,2,5,0,false,15
9,R,3,5,0,false,15
2,IS,5,5,0,false,15
5,IA,2,4,8,false,15
3,R,0,-1,2,false,15
4,IA,1,6,2,false,15
7,IS,2,6,2,false,15
6,R,1,3,4,false,15
8,R,2,7,0,false,16
0,R,2,5,0,false,16
1,IA,2,5,0,false,16
9,R,3,5,0,false,16
2,IS,5,5,0,false,16
5,IA,2,4,8,false,16
3,R,0,-1,2,false,16
4,IA,1,6,2,false,16
7,IS,2,6,2,false,16
6,R,1,3,4,false,16
8,R,2,7,0,false,17
0,R,2,5,0,false,17
1,IA,2,5,0,false,17
9,R,3,5,0,false,17
2,R,5,5,0,false,17
5,IA,2,4,8,false,17
3,R,0,-1,2,false,17
4,IA,1,6,2,false,17
7,IS,2,6,2,false,17
6,R,1,3,4,false,17
8,R,2,7,0,false,18
0,R,2,5,0,false,18
1,IA,2,5,0,false,18
9,R,3,5,0,false,18
2,R,5,5,0,false,18
5,IA,2,4,8,false,18
3,R,0,-1,2,false,18
4,IA,1,6,2,false,18
7,IS,2,6,2,false,18
6,R,1,3,4,false,18
8,R,2,7,0,false,19
0,R,2,5,0,false,19
1,IA,2,5,0,false,19
9,R,3,5,0,false,19
2,R,5,5,0,false,19
5,IA,2,4,8,false,19
3,R,0,-1,2,false,19
4,IA,1,6,2,false,19
7,R,2,6,2,false,19
6,R,1,3,4,false,19
8,R,2,7,0,false,20
0,R,2,5,0,false,20
1,IA,2,5,0,false,20
9,R,3,5,0,false,20
2,R,5,5,0,false,20
5,IA,2,4,8,false,20
3,R,0,-1,2,false,20
4,IA,1,6,2,false,20
7,R,2,6,2,false,20
6,R,1,3,4,false,20
8,R,2,7,0,false,21
0,R,2,5,0,false,21
1,IA,2,5,0,false,21
9,R,3,5,0,false,21
2,R,5,5,0,false,21
5,IA,2,4,8,false,21
3,R,0,-1,2,false,21
4,IA,1,6,2,false,21
7,R,2,6,2,false,21
6,R,1,3,4,false,21
8,R,2,7,0,false,22
0,R,2,5,0,false,22
1,IA,2,5,0,false,22
9,R,3,5,0,false,22
2,R,5,5,0,false,22
5,IA,2,4,8,false,22
3,R,0,-1,2,false,22
4,IA,1,6,2,false,22
7,R,2,6,2,false,22
6,R,1,3,4,false,22
8,R,2,7,0,false,23
0,R,2,5,0,false,23
1,IA,2,5,0,false,23
9,R,3,5,0,false,23
2,R,5,5,0,false,23
5,IA,2,4,8,false,23
3,R,0,-1,2,false,23
4,IA,1,6,2,false,23
7,R,2,6,2,false,23
6,R,1,3,4,false,23
8,R,2,7,0,false,24
0,R,2,5,0,false,24
1,IA,2,5,0,false,24
9,R,3,5,0,false,24
2,R,5,5,0,false,24
5,IA,2,4,8,false,24
3,R,0,-1,2,false,24
4,IA,1,6,2,false,24
7,R,2,6,2,false,24
6,R,1,3,4,false,24
8,R,2,7,0,false,25
0,R,2,5,0,false,25
1,IA,2,5,0,false,25
9,R,3,5,0,false,25
2,R,5,5,0,false,25
5,IA,2,4,8,false,25
3,R,0,-1,2,false,25
4,IA,1,6,2,false,25
7,R,2,6,2,false,25
6,R,1,3,4,false,25
8,R,2,7,0,false,26
0,R,2,5,0,false,26
1,IA,2,5,0,false,26
9,R,3,5,0,false,26
2,R,5,5,0,false,26
5,IA,2,4,8,false,26
3,R,0,-1,2,false,26
4,IA,1,6,2,false,26
7,R,2,6,2,false,26
6,R,1,3,4,false,26
8,R,2,7,0,false,27
0,R,2,5,0,false,27
1,IA,2,5,0,false,27
9,R,3,5,0,false,27
2,R,5,5,0,false,27
5,IA,2,4,8,false,27
3,R,0,-1,2,false,27
4,IA,1,6,2,false,27
7,R,2,6,2,false,27
6,R,1,3,4,false,27
8,R,2,7,0,false,28
0,R,2,5,0,false,28
1,IA,2,5,0,false,28
9,R,3,5,0,false,28
2,R,5,5,0,false,28
5,IA,2,4,8,false,28
3,R,0,-1,2,false,28
4,IA,1,6,2,false,28
7,R,2,6,2,false,28
6,R,1,3,4,false,28
8,R,2,7,0,false,29
0,R,2,5,0,false,29
1,IA,2,5,0,false,29
9,R,3,5,0,false,29
2,R,5,5,0,false,29
5,IA,2,4,8,false,29
3,R,0,-1,2,false,29
4,IA,1,6,2,false,29
7,R,2,6,2,false,29
6,R,1,3,4,false,29
8,R,2,7,0,false,30
0,R,2,5,0,false,30
1,IA,2,5,0,false,30
9,R,3,5,0,false,30
2,R,5,5,0,false,30
5,IA,2,4,8,false,30
3,R,0,-1,2,false,30
4,IA,1,6,2,false,30
7,R,2,6,2,false,30
6,R,1,3,4,false,30
8,R,2,7,0,false,31
0,R,2,5,0,false,31
1,IA,2,5,0,false,31
9,R,3,5,0,false,31
2,R,5,5,0,false,31
5,IA,2,4,8,false,31
3,R,0,-1,2,false,31
4,IA,1,6,2,false,31
7,R,2,6,2,false,31
6,R,1,3,4,false,31
8,R,2,7,0,false,32
0,R,2,5,0,false,32
1,IA,2,5,0,false,32
9,R,3,5,0,false,32
2,R,5,5,0,false,32
5,IA,2,4,8,false,32
3,R,0,-1,2,false,32
4,IA,1,6,2,false,32
7,R,2,6,2,false,32
6,R,1,3,4,false,32
8,R,2,7,0,false,33
0,R,2,5,0,false,33
1,IA,2,5,0,false,33
9,R,3,5,0,false,33
2,R,5,5,0,false,33
5,IA,2,4,8,false,33
3,R,0,-1,2,false,33
4,IA,1,6,2,false,33
7,R,2,6,2,false,33
6,R,1,3,4,false,33
8,R,2,7,0,false,34
0,R,2,5,0,false,34
1,IA,2,5,0,false,34
9,R,3,5,0,false,34
2,R,5,5,0,false,34
5,IA,2,4,8,false,34
3,R,0,-1,2,false,34
4,IA,1,6,2,false,34
7,R,2,6,2,false,34
6,R,1,3,4,false,34
8,R,2,7,0,false,35
0,R,2,5,0,false,35
1,IA,2,5,0,false,35
9,R,3,5,0,false,35
2,R,5,5,0,false,35
5,IA,2,4,8,false,35
3,R,0,-1,2,false,35
4,IA,1,6,2,false,35
7,R,2,6,2,false,35
6,R,1,3,4,false,35
8,R,2,7,0,false,36
0,R,2,5,0,false,36
1,IA,2,5,0,false,36
9,R,3,5,0,false,36
2,R,5,5,0,false,36
