tick,unique-id,state,infection-start,infector-id,num-infected,masked
8,S,-1,-1,0,false,0
6,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
5,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
4,S,-1,-1,0,false,0
2,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
1,IS,0,-1,0,false,0
8,S,-1,-1,0,false,1
6,S,-1,-1,0,false,1
7,S,-1,-1,0,false,1
5,S,-1,-1,0,false,1
9,S,-1,-1,0,false,1
4,S,-1,-1,0,false,1
2,S,-1,-1,0,false,1
3,S,-1,-1,0,false,1
0,S,-1,-1,0,false,1
1,IS,0,-1,0,false,1
8,S,-1,-1,0,false,2
6,S,-1,-1,0,false,2
7,S,-1,-1,0,false,2
5,S,-1,-1,0,false,2
9,IA,2,1,2,false,2
4,IS,2,9,0,false,2
2,S,-1,-1,0,false,2
3,S,-1,-1,0,false,2
0,S,-1,-1,0,false,2
1,IS,0,-1,2,false,2
8,S,-1,-1,0,false,3
6,S,-1,-1,0,false,3
7,S,-1,-1,0,false,3
5,S,-1,-1,0,false,3
9,R,2,1,2,false,3
4,IS,2,9,2,false,3
2,S,-1,-1,0,false,3
3,S,-1,-1,0,false,3
0,IS,3,4,0,false,3
1,IS,0,-1,2,false,3
8,S,-1,-1,0,false,4
6,S,-1,-1,0,false,4
7,S,-1,-1,0,false,4
5,S,-1,-1,0,false,4
9,R,2,1,2,false,4
4,IS,2,9,2,false,4
2,S,-1,-1,0,false,4
3,S,-1,-1,0,false,4
0,IS,3,4,0,false,4
1,IS,0,-1,2,false,4
8,S,-1,-1,0,false,5
6,S,-1,-1,0,false,5
7,S,-1,-1,0,false,5
5,S,-1,-1,0,false,5
9,R,2,1,2,false,5
4,IS,2,9,2,false,5
2,S,-1,-1,0,false,5
3,S,-1,-1,0,false,5
0,R,3,4,0,false,5
1,IS,0,-1,2,false,5
8,S,-1,-1,0,false,6
6,IS,6,4,0,false,6
7,IS,6,4,0,false,6
5,S,-1,-1,0,false,6
9,R,2,1,2,false,6
4,IS,2,9,6,false,6
2,S,-1,-1,0,false,6
3,S,-1,-1,0,false,6
0,R,3,4,0,false,6
1,IS,0,-1,2,false,6
8,S,-1,-1,0,false,7
6,IS,6,4,2,false,7
7,IS,6,4,0,false,7
5,IA,7,6,0,false,7
9,R,2,1,2,false,7
4,R,2,9,6,false,7
2,S,-1,-1,0,false,7
3,S,-1,-1,0,false,7
0,R,3,4,0,false,7
1,IS,0,-1,2,false,7
8,S,-1,-1,0,false,8
6,IS,6,4,2,false,8
7,IS,6,4,0,false,8
5,IA,7,6,0,false,8
9,R,2,1,2,false,8
4,R,2,9,6,false,8
2,S,-1,-1,0,false,8
3,S,-1,-1,0,false,8
0,R,3,4,0,false,8
1,R,0,-1,2,false,8
8,S,-1,-1,0,false,9
6,IS,6,4,2,false,9
7,R,6,4,0,false,9
5,IA,7,6,2,false,9
9,R,2,1,2,false,9
4,R,2,9,6,false,9
2,S,-1,-1,0,false,9
3,IA,9,5,0,false,9
0,R,3,4,0,false,9
1,R,0,-1,2,false,9
8,S,-1,-1,0,false,10
6,R,6,4,2,false,10
7,R,6,4,0,false,10
5,IA,7,6,2,false,10
9,R,2,1,2,false,10
4,R,2,9,6,false,10
2,S,-1,-1,0,false,10
3,IA,9,5,0,false,10
0,R,3,4,0,false,10
1,R,0,-1,2,false,10
8,S,-1,-1,0,false,11
6,R,6,4,2,false,11
7,R,6,4,0,false,11
5,IA,7,6,2,false,11
9,R,2,1,2,false,11
4,R,2,9,6,false,11
2,S,-1,-1,0,false,11
3,IA,9,5,0,false,11
0,R,3,4,0,false,11
1,R,0,-1,2,false,11
8,S,-1,-1,0,false,12
6,R,6,4,2,false,12
7,R,6,4,0,false,12
5,IA,7,6,2,false,12
9,R,2,1,2,false,12
4,R,2,9,6,false,12
2,S,-1,-1,0,false,12
3,IA,9,5,0,false,12
0,R,3,4,0,false,12
1,R,0,-1,2,false,12
8,S,-1,-1,0,false,13
6,R,6,4,2,false,13
7,R,6,4,0,false,13
5,IA,7,6,2,false,13
9,R,2,1,2,false,13
4,R,2,9,6,false,13
2,S,-1,-1,0,false,13
3,IA,9,5,0,false,13
0,R,3,4,0,false,13
1,R,0,-1,2,false,13
8,S,-1,-1,0,false,14
6,R,6,4,2,false,14
7,R,6,4,0,false,14
5,IA,7,6,2,false,14
9,R,2,1,2,false,14
4,R,2,9,6,false,14
