tick,unique-id,state,infection-start,infector-id,num-infected,masked
1,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
7,S,-1,-1,0,true,0
6,S,-1,-1,0,false,0
5,S,-1,-1,0,false,0
2,S,-1,-1,0,true,0
4,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
8,IA,0,-1,0,false,0
1,S,-1,-1,0,false,1
9,S,-1,-1,0,true,1
3,S,-1,-1,0,false,1
7,S,-1,-1,0,true,1
6,S,-1,-1,0,false,1
5,S,-1,-1,0,false,1
2,S,-1,-1,0,false,1
4,S,-1,-1,0,true,1
0,S,-1,-1,0,false,1
8,IA,0,-1,0,false,1
1,S,-1,-1,0,false,2
9,S,-1,-1,0,true,2
3,S,-1,-1,0,false,2
7,S,-1,-1,0,false,2
6,S,-1,-1,0,false,2
5,S,-1,-1,0,true,2
2,S,-1,-1,0,false,2
4,S,-1,-1,0,false,2
0,S,-1,-1,0,true,2
8,IA,0,-1,0,true,2
1,S,-1,-1,0,false,3
9,S,-1,-1,0,false,3
3,S,-1,-1,0,false,3
7,S,-1,-1,0,false,3
6,S,-1,-1,0,false,3
5,IA,3,8,0,false,3
2,IS,3,8,0,false,3
4,S,-1,-1,0,false,3
0,S,-1,-1,0,false,3
8,IA,0,-1,4,false,3
1,S,-1,-1,0,false,4
9,IS,4,8,0,false,4
3,S,-1,-1,0,false,4
7,IA,4,2,0,false,4
6,S,-1,-1,0,false,4
5,IA,3,8,0,true,4
2,IS,3,8,2,false,4
4,S,-1,-1,0,true,4
0,S,-1,-1,0,false,4
8,IA,0,-1,6,false,4
1,S,-1,-1,0,false,5
9,IS,4,8,0,false,5
3,S,-1,-1,0,true,5
7,IA,4,2,0,false,5
6,IA,5,5,0,false,5
5,IA,3,8,2,false,5
2,IS,3,8,2,false,5
4,S,-1,-1,0,false,5
0,S,-1,-1,0,true,5
8,R,0,-1,6,false,5
1,S,-1,-1,0,false,6
9,IS,4,8,0,true,6
3,S,-1,-1,0,false,6
7,IA,4,2,2,false,6
6,IA,5,5,0,false,6
5,IA,3,8,2,false,6
2,IS,3,8,2,false,6
4,S,-1,-1,0,true,6
0,IA,6,7,0,false,6
8,R,0,-1,6,false,6
1,S,-1,-1,0,false,7
9,IS,4,8,0,false,7
3,S,-1,-1,0,false,7
7,IA,4,2,2,false,7
6,IA,5,5,0,true,7
5,R,3,8,2,false,7
2,IS,3,8,2,false,7
4,S,-1,-1,0,true,7
0,IA,6,7,0,false,7
8,R,0,-1,6,true,7
1,IA,8,2,0,false,8
9,IS,4,8,0,false,8
3,S,-1,-1,0,false,8
7,R,4,2,2,false,8
6,IA,5,5,0,false,8
5,R,3,8,2,true,8
2,IS,3,8,4,false,8
4,S,-1,-1,0,false,8
0,IA,6,7,0,false,8
8,R,0,-1,6,false,8
1,IA,8,2,0,false,9
9,IS,4,8,0,false,9
3,IS,9,6,0,false,9
7,R,4,2,2,false,9
6,IA,5,5,2,false,9
5,R,3,8,2,false,9
2,R,3,8,4,false,9
4,S,-1,-1,0,true,9
0,IA,6,7,0,false,9
8,R,0,-1,6,false,9
1,IA,8,2,0,false,10
9,IS,4,8,0,false,10
3,IS,9,6,0,false,10
7,R,4,2,2,false,10
6,IA,5,5,2,false,10
5,R,3,8,2,false,10
2,R,3,8,4,false,10
4,S,-1,-1,0,false,10
0,IA,6,7,0,false,10
8,R,0,-1,6,false,10
1,IA,8,2,0,false,11
9,IS,4,8,0,false,11
3,IS,9,6,0,false,11
7,R,4,2,2,false,11
6,IA,5,5,2,false,11
5,R,3,8,2,false,11
2,R,3,8,4,false,11
4,S,-1,-1,0,false,11
0,IA,6,7,0,false,11
8,R,0,-1,6,false,11
1,IA,8,2,0,false,12
9,IS,4,8,0,false,12
