tick,unique-id,state,infection-start,infector-id,num-infected,masked
8,IS,0,-1,0,false,0
4,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
6,S,-1,-1,0,false,0
9,S,-1,-1,0,false,0
0,S,-1,-1,0,false,0
5,S,-1,-1,0,true,0
2,S,-1,-1,0,false,0
1,S,-1,-1,0,false,0
7,S,-1,-1,0,false,0
8,IS,0,-1,2,false,1
4,S,-1,-1,0,false,1
3,S,-1,-1,0,false,1
6,S,-1,-1,0,false,1
9,S,-1,-1,0,false,1
0,S,-1,-1,0,false,1
5,S,-1,-1,0,false,1
2,IS,1,8,0,false,1
1,S,-1,-1,0,false,1
7,S,-1,-1,0,false,1
8,IS,0,-1,2,false,2
4,S,-1,-1,0,false,2
3,S,-1,-1,0,false,2
6,S,-1,-1,0,false,2
9,S,-1,-1,0,false,2
0,S,-1,-1,0,false,2
5,S,-1,-1,0,false,2
2,IS,1,8,0,false,2
1,S,-1,-1,0,false,2
7,S,-1,-1,0,true,2
8,IS,0,-1,2,false,3
4,S,-1,-1,0,false,3
3,S,-1,-1,0,false,3
6,S,-1,-1,0,false,3
9,S,-1,-1,0,false,3
0,S,-1,-1,0,false,3
5,S,-1,-1,0,false,3
2,IS,1,8,0,false,3
1,S,-1,-1,0,false,3
7,S,-1,-1,0,false,3
8,IS,0,-1,2,false,4
4,S,-1,-1,0,false,4
3,S,-1,-1,0,false,4
6,S,-1,-1,0,false,4
9,S,-1,-1,0,false,4
0,S,-1,-1,0,false,4
5,S,-1,-1,0,false,4
2,IS,1,8,0,false,4
1,S,-1,-1,0,false,4
7,S,-1,-1,0,true,4
8,IS,0,-1,4,false,5
4,IA,5,8,0,false,5
3,S,-1,-1,0,false,5
6,S,-1,-1,0,false,5
9,S,-1,-1,0,false,5
0,S,-1,-1,0,false,5
5,S,-1,-1,0,false,5
2,R,1,8,0,true,5
1,S,-1,-1,0,false,5
7,S,-1,-1,0,false,5
8,R,0,-1,4,false,6
4,IA,5,8,0,false,6
3,S,-1,-1,0,false,6
6,S,-1,-1,0,false,6
9,S,-1,-1,0,false,6
0,S,-1,-1,0,false,6
5,S,-1,-1,0,false,6
2,R,1,8,0,false,6
1,S,-1,-1,0,false,6
7,S,-1,-1,0,true,6
8,R,0,-1,4,false,7
4,IA,5,8,2,false,7
3,S,-1,-1,0,false,7
6,IA,7,4,0,false,7
9,S,-1,-1,0,false,7
0,S,-1,-1,0,false,7
5,S,-1,-1,0,false,7
2,R,1,8,0,false,7
1,S,-1,-1,0,false,7
7,S,-1,-1,0,true,7
8,R,0,-1,4,true,8
4,IA,5,8,2,false,8
3,S,-1,-1,0,false,8
6,R,7,4,0,false,8
9,S,-1,-1,0,false,8
0,S,-1,-1,0,false,8
5,S,-1,-1,0,false,8
2,R,1,8,0,false,8
1,S,-1,-1,0,false,8
7,S,-1,-1,0,false,8
8,R,0,-1,4,true,9
4,IA,5,8,4,false,9
3,S,-1,-1,0,true,9
6,R,7,4,0,false,9
9,S,-1,-1,0,false,9
0,S,-1,-1,0,false,9
5,IA,9,4,0,false,9
2,R,1,8,0,false,9
1,S,-1,-1,0,false,9
7,S,-1,-1,0,true,9
8,R,0,-1,4,true,10
4,IA,5,8,4,false,10
3,S,-1,-1,0,false,10
6,R,7,4,0,false,10
9,S,-1,-1,0,false,10
0,S,-1,-1,0,false,10
5,IA,9,4,0,false,10
2,R,1,8,0,false,10
1,S,-1,-1,0,false,10
7,S,-1,-1,0,false,10
8,R,0,-1,4,false,11
4,IA,5,8,4,false,11
3,S,-1,-1,0,false,11
6,R,7,4,0,true,11
9,S,-1,-1,0,false,11
0,S,-1,-1,0,false,11
5,IA,9,4,0,false,11
2,R,1,8,0,false,11
1,S,-1,-1,0,false,11
7,S,-1,-1,0,false,11
8,R,0,-1,4,false,12
4,IA,5,8,8,false,12
3,IA,12,4,2,false,12
6,R,7,4,0,false,12
9,IA,12,4,0,false,12
0,IS,12,3,0,false,12
5,IA,9,4,0,false,12
2,R,1,8,0,false,12
1,S,-1,-1,0,false,12
7,S,-1,-1,0,false,12
8,R,0,-1,4,false,13
4,R,5,8,8,false,13
3,IA,12,4,2,false,13
6,R,7,4,0,true,13
9,IA,12,4,0,false,13
0,IS,12,3,0,false,13
5,IA,9,4,0,false,13
2,R,1,8,0,false,13
1,S,-1,-1,0,false,13
7,S,-1,-1,0,false,13
8,R,0,-1,4,true,14
4,R,5,8,8,false,14
3,IA,12,4,2,false,14
6,R,7,4,0,false,14
9,IA,12,4,0,false,14
0,IS,12,3,0,false,14
5,IA,9,4,0,true,14
2,R,1,8,0,false,14
1,S,-1,-1,0,false,14
7,S,-1,-1,0,true,14
8,R,0,-1,4,false,15
4,R,5,8,8,false,15
3,IA,12,4,2,false,15
6,R,7,4,0,false,15
9,IA,12,4,0,false,15
0,IS,12,3,0,false,15
5,IA,9,4,0,false,15
2,R,1,8,0,false,15
1,S,-1,-1,0,false,15
7,S,-1,-1,0,false,15
8,R,0,-1,4,false,16
4,R,5,8,8,false,16
3,IA,12,4,2,false,16
6,R,7,4,0,false,16
9,IA,12,4,0,false,16
0,IS,12,3,0,false,16
5,IA,9,4,0,false,16
2,R,1,8,0,false,16
1,S,-1,-1,0,false,16
7,S,-1,-1,0,true,16
8,R,0,-1,4,true,17
4,R,5,8,8,false,17
3,R,12,4,2,false,17
6,R,7,4,0,false,17
9,IA,12,4,0,false,17
0,IS,12,3,2,false,17
5,IA,9,4,0,false,17
2,R,1,8,0,false,17
1,S,-1,-1,0,false,17
7,IA,17,0,0,false,17
8,R,0,-1,4,true,18
4,R,5,8,8,true,18
3,R,12,4,2,false,18
6,R,7,4,0,true,18
9,IA,12,4,0,false,18
0,IS,12,3,2,false,18
5,IA,9,4,0,false,18
2,R,1,8,0,false,18
1,S,-1,-1,0,false,18
7,IA,17,0,0,false,18
8,R,0,-1,4,false,19
4,R,5,8,8,false,19
3,R,12,4,2,false,19
6,R,7,4,0,false,19
9,IA,12,4,0,false,19
0,R,12,3,2,true,19
5,IA,9,4,2,false,19
2,R,1,8,0,false,19
1,IS,19,5,0,false,19
7,IA,17,0,0,false,19
8,R,0,-1,4,false,20
4,R,5,8,8,false,20
3,R,12,4,2,false,20
6,R,7,4,0,false,20
9,IA,12,4,0,false,20
0,R,12,3,2,false,20
5,IA,9,4,2,false,20
2,R,1,8,0,false,20
1,IS,19,5,0,false,20
7,IA,17,0,0,false,20
8,R,0,-1,4,false,21
4,R,5,8,8,false,21
3,R,12,4,2,false,21
6,R,7,4,0,false,21
9,R,12,4,0,false,21
0,R,12,3,2,false,21
5,IA,9,4,2,false,21
2,R,1,8,0,false,21
1,IS,19,5,0,false,21
7,IA,17,0,0,false,21
8,R,0,-1,4,false,22
4,R,5,8,8,false,22
3,R,12,4,2,false,22
6,R,7,4,0,false,22
