tick,unique-id,state,infection-start,infector-id,num-infected,masked
2,S,-1,-1,0,false,0
3,S,-1,-1,0,false,0
7,IS,0,9,0,false,0
0,S,-1,-1,0,false,0
5,IA,0,6,0,false,0
4,S,-1,-1,0,false,0
8,S,-1,-1,0,false,0
1,S,-1,-1,0,false,0
9,IA,0,-1,4,false,0
6,IA,0,9,2,false,0
2,IA,1,9,0,false,1
3,S,-1,-1,0,false,1
7,IS,0,9,0,true,1
0,S,-1,-1,0,false,1
5,IA,0,6,2,false,1
4,S,-1,-1,0,false,1
8,IA,1,5,0,false,1
1,S,-1,-1,0,false,1
9,IA,0,-1,6,true,1
6,IA,0,9,2,false,1
2,IA,1,9,2,false,2
3,S,-1,-1,0,false,2
7,IS,0,9,0,false,2
0,S,-1,-1,0,false,2
5,IA,0,6,2,false,2
4,IA,2,2,0,false,2
8,IA,1,5,0,false,2
1,IS,2,9,0,false,2
9,IA,0,-1,8,false,2
6,IA,0,9,2,false,2
2,R,1,9,2,false,3
3,S,-1,-1,0,false,3
7,IS,0,9,0,false,3
0,IA,3,5,0,false,3
5,IA,0,6,4,false,3
4,IA,2,2,0,false,3
8,IA,1,5,0,false,3
1,IS,2,9,0,false,3
9,IA,0,-1,8,false,3
6,IA,0,9,2,false,3
2,R,1,9,2,false,4
3,S,-1,-1,0,false,4
7,IS,0,9,0,false,4
0,IA,3,5,0,false,4
5,IA,0,6,4,false,4
4,IA,2,2,0,false,4
8,IA,1,5,0,false,4
1,IS,2,9,0,false,4
9,IA,0,-1,8,false,4
6,IA,0,9,2,false,4
2,R,1,9,2,false,5
3,S,-1,-1,0,false,5
7,IS,0,9,0,false,5
0,IA,3,5,0,false,5
5,IA,0,6,4,false,5
4,IA,2,2,0,false,5
8,IA,1,5,0,false,5
1,IS,2,9,0,false,5
9,IA,0,-1,8,false,5
6,IA,0,9,2,false,5
2,R,1,9,2,false,6
3,S,-1,-1,0,false,6
7,IS,0,9,0,false,6
0,IA,3,5,0,false,6
5,IA,0,6,4,false,6
4,IA,2,2,0,false,6
8,IA,1,5,0,false,6
1,R,2,9,0,false,6
9,IA,0,-1,8,false,6
6,IA,0,9,2,false,6
2,R,1,9,2,true,7
3,S,-1,-1,0,true,7
7,IS,0,9,0,false,7
0,IA,3,5,0,false,7
5,IA,0,6,4,false,7
4,IA,2,2,0,false,7
8,IA,1,5,0,false,7
1,R,2,9,0,true,7
9,IA,0,-1,8,false,7
6,IA,0,9,2,false,7
2,R,1,9,2,false,8
3,IS,8,4,0,false,8
7,IS,0,9,0,false,8
0,IA,3,5,0,false,8
5,R,0,6,4,true,8
4,IA,2,2,2,false,8
8,IA,1,5,0,false,8
1,R,2,9,0,false,8
9,IA,0,-1,8,false,8
6,IA,0,9,2,false,8
2,R,1,9,2,false,9
3,IS,8,4,0,false,9
7,R,0,9,0,false,9
0,IA,3,5,0,false,9
5,R,0,6,4,false,9
4,IA,2,2,2,false,9
8,R,1,5,0,false,9
1,R,2,9,0,false,9
9,IA,0,-1,8,false,9
6,IA,0,9,2,false,9
2,R,1,9,2,false,10
3,IS,8,4,0,false,10
7,R,0,9,0,true,10
0,IA,3,5,0,false,10
5,R,0,6,4,false,10
4,IA,2,2,2,false,10
8,R,1,5,0,false,10
1,R,2,9,0,false,10
9,IA,0,-1,8,false,10
6,IA,0,9,2,false,10
2,R,1,9,2,false,11
3,R,8,4,0,false,11
7,R,0,9,0,false,11
0,R,3,5,0,false,11
5,R,0,6,4,false,11
4,IA,2,2,2,false,11
8,R,1,5,0,false,11
1,R,2,9,0,false,11
9,IA,0,-1,8,false,11
6,R,0,9,2,false,11
2,R,1,9,2,false,12
3,R,8,4,0,false,12
7,R,0,9,0,false,12
0,R,3,5,0,false,12
5,R,0,6,4,false,12
4,IA,2,2,2,false,12
8,R,1,5,0,false,12
1,R,2,9,0,true,12
9,IA,0,-1,8,false,12
6,R,0,9,2,false,12
2,R,1,9,2,false,13
3,R,8,4,0,false,13
7,R,0,9,0,false,13
0,R,3,5,0,false,13
5,R,0,6,4,false,13
4,IA,2,2,2,false,13
8,R,1,5,0,false,13
1,R,2,9,0,false,13
9,IA,0,-1,8,false,13
6,R,0,9,2,false,13
2,R,1,9,2,false,14
3,R,8,4,0,false,14
7,R,0,9,0,false,14
0,R,3,5,0,false,14
5,R,0,6,4,false,14
4,IA,2,2,2,false,14
8,R,1,5,0,false,14
1,R,2,9,0,false,14
9,IA,0,-1,8,false,14
6,R,0,9,2,false,14
2,R,1,9,2,false,15
3,R,8,4,0,false,15
7,R,0,9,0,false,15
0,R,3,5,0,false,15
5,R,0,6,4,false,15
4,IA,2,2,2,false,15
8,R,1,5,0,false,15
